message_id,message_date,product_id,category,message,status
CS-00001,2026-04-22,LR-TON-006,결제,쿠폰이 결제 단계에서 적용되지 않습니다.,resolved
CS-00019,2026-04-22,LR-SHP-001,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,resolved
CS-00024,2026-04-22,LR-TRT-003,반품/교환,다른 상품으로 교환하고 싶어요.,resolved
CS-00029,2026-04-22,LR-KIT-008,배송,상자가 찌그러져 도착했어요.,resolved
CS-00084,2026-04-22,LR-CND-002,반품/교환,다른 상품으로 교환하고 싶어요.,pending
CS-00117,2026-04-22,LR-SHP-001,상품,두피가 민감한 편인데 사용 가능할까요?,resolved
CS-00051,2026-04-23,LR-CND-002,반품/교환,개봉 후 교환이 가능한지 문의드립니다.,open
CS-00168,2026-04-23,LR-SHP-001,반품/교환,환불 처리 상태 확인 부탁드립니다.,pending
CS-00026,2026-04-24,LR-TON-006,배송,배송 일정 확인 부탁드립니다.,resolved
CS-00036,2026-04-24,LR-MSK-005,배송,상자가 찌그러져 도착했어요.,open
CS-00063,2026-04-24,LR-KIT-008,반품/교환,다른 상품으로 교환하고 싶어요.,open
CS-00070,2026-04-24,LR-OIL-004,상품,펌프 불량으로 교환 요청드립니다.,open
CS-00127,2026-04-24,LR-TRT-003,상품,향 지속 시간이 궁금합니다.,open
CS-00159,2026-04-24,LR-OIL-004,상품,두피가 민감한 편인데 사용 가능할까요?,open
CS-00027,2026-04-25,LR-TRT-003,구독,정기배송 주기를 변경하고 싶어요.,open
CS-00046,2026-04-25,LR-KIT-008,반품/교환,다른 상품으로 교환하고 싶어요.,resolved
CS-00112,2026-04-25,LR-TON-006,배송,배송 일정 확인 부탁드립니다.,resolved
CS-00124,2026-04-25,LR-MSK-005,상품,향 지속 시간이 궁금합니다.,resolved
CS-00128,2026-04-25,LR-SER-007,반품/교환,다른 상품으로 교환하고 싶어요.,pending
CS-00175,2026-04-25,LR-MSK-005,반품/교환,환불 처리 상태 확인 부탁드립니다.,resolved
CS-00028,2026-04-26,LR-SER-007,구독,구독 할인 적용 여부가 궁금합니다.,pending
CS-00075,2026-04-26,LR-SHP-001,구독,정기배송 주기를 변경하고 싶어요.,resolved
