review_id,review_date,product_id,rating,review_text
R-00059,2026-04-22,LR-CND-002,5,한 주 정도 쓰니 푸석함이 줄어든 느낌이에요.
R-00092,2026-04-22,LR-MSK-005,2,두피가 살짝 간지럽고 효과를 아직 모르겠어요.
R-00190,2026-04-22,LR-OIL-004,4,두피가 편안하고 향도 은은해서 재구매 의향이 있어요.
R-00228,2026-04-22,LR-KIT-008,1,배송 중 내용물이 조금 샜어요.
R-00032,2026-04-23,LR-TRT-003,2,펌프가 잘 눌리지 않아 사용이 불편했어요.
R-00040,2026-04-23,LR-OIL-004,5,한 주 정도 쓰니 푸석함이 줄어든 느낌이에요.
R-00061,2026-04-23,LR-SER-007,5,머릿결이 부드러워지고 사용감이 가벼워요.
R-00067,2026-04-23,LR-CND-002,2,두피가 살짝 간지럽고 효과를 아직 모르겠어요.
R-00073,2026-04-23,LR-SHP-001,4,두피가 편안하고 향도 은은해서 재구매 의향이 있어요.
R-00202,2026-04-23,LR-CND-002,5,한 주 정도 쓰니 푸석함이 줄어든 느낌이에요.
R-00217,2026-04-23,LR-CND-002,1,펌프가 잘 눌리지 않아 사용이 불편했어요.
R-00012,2026-04-24,LR-SHP-001,3,배송이 빠르고 패키지도 깔끔해서 선물용으로 좋아요.
R-00048,2026-04-24,LR-CND-002,3,머릿결이 부드러워지고 사용감이 가벼워요.
R-00084,2026-04-24,LR-SER-007,2,두피가 살짝 간지럽고 효과를 아직 모르겠어요.
R-00180,2026-04-24,LR-TON-006,5,머릿결이 부드러워지고 사용감이 가벼워요.
R-00183,2026-04-24,LR-OIL-004,5,두피가 편안하고 향도 은은해서 재구매 의향이 있어요.
R-00197,2026-04-24,LR-TRT-003,3,머릿결이 부드러워지고 사용감이 가벼워요.
R-00205,2026-04-24,LR-OIL-004,2,향이 생각보다 강해서 아쉬웠어요.
R-00004,2026-04-25,LR-SHP-001,2,두피가 살짝 간지럽고 효과를 아직 모르겠어요.
R-00007,2026-04-25,LR-SHP-001,2,배송 중 내용물이 조금 샜어요.
R-00043,2026-04-25,LR-SHP-001,5,두피가 편안하고 향도 은은해서 재구매 의향이 있어요.
R-00063,2026-04-25,LR-TRT-003,2,두피가 살짝 간지럽고 효과를 아직 모르겠어요.
R-00134,2026-04-25,LR-SER-007,4,한 주 정도 쓰니 푸석함이 줄어든 느낌이에요.
R-00161,2026-04-25,LR-TRT-003,5,머릿결이 부드러워지고 사용감이 가벼워요.
R-00068,2026-04-26,LR-MSK-005,5,두피가 편안하고 향도 은은해서 재구매 의향이 있어요.
R-00111,2026-04-26,LR-CND-002,4,한 주 정도 쓰니 푸석함이 줄어든 느낌이에요.
R-00160,2026-04-26,LR-MSK-005,5,한 주 정도 쓰니 푸석함이 줄어든 느낌이에요.
R-00178,2026-04-26,LR-TON-006,5,두피가 편안하고 향도 은은해서 재구매 의향이 있어요.
R-00065,2026-04-27,LR-MSK-005,2,배송 중 내용물이 조금 샜어요.
R-00100,2026-04-27,LR-CND-002,4,두피가 편안하고 향도 은은해서 재구매 의향이 있어요.
R-00151,2026-04-27,LR-CND-002,4,두피가 편안하고 향도 은은해서 재구매 의향이 있어요.
R-00152,2026-04-27,LR-TRT-003,3,두피가 편안하고 향도 은은해서 재구매 의향이 있어요.
R-00224,2026-04-27,LR-SER-007,5,배송이 빠르고 패키지도 깔끔해서 선물용으로 좋아요.
R-00240,2026-04-27,LR-TRT-003,4,배송이 빠르고 패키지도 깔끔해서 선물용으로 좋아요.
R-00053,2026-04-28,LR-SER-007,4,배송이 빠르고 패키지도 깔끔해서 선물용으로 좋아요.
